"date","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antigua and Barb.","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herz.","Botswana","Br. Indian Ocean Ter.","Brazil","British Virgin Is.","Brunei","Bulgaria","Burkina Faso","Burundi","C<92><82>te d'Ivoire","Cambodia","Cameroon","Canada","Cape Verde","Cayman Is.","Central African Rep.","Chad","Chile","China","Colombia","Comoros","Congo","Cook Is.","Costa Rica","Croatia","Cuba","Cura<92>_ao","Cyprus","Czech Rep.","Dem. Rep. Congo","Denmark","Djibouti","Dominica","Dominican Rep.","Ecuador","Egypt","El Salvador","Eq. Guinea","Eritrea","Estonia","Ethiopia","Faeroe Is.","Falkland Is.","Fiji","Finland","Fr. Polynesia","France","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea","Kuwait","Kyrgyzstan","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Is.","Mauritania","Mauritius","Mexico","Micronesia","Moldova","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","Nicaragua","Niger","Nigeria","Niue","Norfolk Island","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Pitcairn Is.","Poland","Portugal","Puerto Rico","Qatar","Romania","Russia","Rwanda","S. Geo. and S. Sandw. Is.","S. Sudan","Saint Helena","Saint Lucia","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten","Slovakia","Slovenia","Solomon Is.","Somalia","South Africa","Spain","Sri Lanka","St. Vin. and Gren.","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Is.","U.S. Virgin Is.","Uganda","Ukraine","Unclassified","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Vatican","Venezuela","Vietnam","W. Sahara","Wallis and Futuna Is.","Yemen","Zambia","Zimbabwe"
2000-01-31,0,49152,4529694,1939828,0,0,0,0,1438399,0,0,332741515,509328,0,150818,1047607,309510,1346651,0,32381974,0,0,209526,0,2005,66164,0,0,3083426,0,121316,182976,0,0,0,41425,0,23202433,0,0,0,0,3729478,43381723,182442,0,0,1709724,60772,5232,3459,0,496239,44701,0,6441812,198873,0,542761,163712,6570053,7579161,0,0,1590,0,90632,0,11585913,1952487,7371929,58551256,0,0,187392,47885805,34244,3124544,0,70194,574898,446167,0,0,265143,0,102275,36042506,419348,16345,12080334,21881002,8114309,0,1668526,278814,27659057,3878850,242207341,3594737,0,20152,304036,81671813,2047557,0,1719744,76862,446590,0,0,0,0,0,739808,125326,0,0,0,32005235,30896,0,795983,197739,0,1769650,9007704,61434,0,0,0,0,0,2203132,52908,812634,0,53660,2078105,8532513,4938934,0,0,281344,275067,615526,507760,1024738,1945202,0,2064256,5597216,29007,7145309,26284150,7821,366687,1596741,0,360311,746340,3236777,0,0,0,0,231870,3746077,0,0,23006910,0,0,541851,0,29326551,0,70985,27519,1200017,0,6010304,5035453,6386403,0,278930,0,0,2882955,2678618,938048,39953041,0,104066,20767036,0,0,1323981,905201,271109,2118927,0,0,0,0,0,43650239,11807393,91720199,292140933,254200,4612,1186683,0,13397339,6370076,0,280584,1921820,0,53765
2000-02-29,0,0,3540816,4427650,0,0,0,0,2398548,0,0,448952759,483401,0,247435,893218,3836757,1689624,0,38920995,0,0,332998,0,6725,0,0,0,5282771,0,168480,98902,0,0,0,43953,0,30921958,0,3800,0,0,4150577,80045684,471926,0,12210,2686391,132631,0,334541,0,678018,130568,0,10129819,132582,0,1586967,6467,11375075,6849993,0,0,0,0,111302,167133,19342629,2885538,9405556,53865675,8802,0,0,65552775,346860,5815284,5120,333353,925917,342406,0,0,726932,0,153366,51092297,64543,96699,17461443,45414044,5938379,0,2232872,508855,29532937,6143330,277829241,1666720,0,107570,58021,107877461,4908014,0,1200,2178843,138056,0,0,0,0,0,16676,0,0,176826,0,51652622,1209766,0,302947,29233,0,3152347,44736436,2599,0,0,0,0,0,152959,45090,727344,4000,5383,3755152,12302676,5246460,0,0,460987,578854,342181,1270783,2806069,1058383,0,93168,5007956,0,11122164,33416057,5791,189879,1630926,0,303601,71849,3604704,2474,0,0,0,68252,4926793,0,0,22101726,49056,0,46009,0,28152282,0,0,152826,754206,0,7872277,8583588,10918139,0,0,0,0,4614948,5483260,1579384,49446724,0,2329,22447164,58395,0,2869448,1739372,0,3162182,0,0,0,0,276551,24954253,8299001,107618311,359605131,85807,0,1252235,0,12595901,19954153,0,397712,624176,16047,23737
2000-03-31,0,0,6059842,4976434,0,317520,0,81945,1934442,0,0,478516157,897138,0,347770,1180288,1522385,1208768,0,51378300,0,144726,525863,0,81185,0,12584,0,7098672,0,112185,112805,0,0,120618,65043,0,28059075,0,0,0,0,7485130,69863086,114206,0,0,3628578,23586,12350,627113,0,787136,71323,0,4631522,0,0,2416831,40148,12430916,4582607,0,0,0,0,0,18897,19166414,1295759,10277051,58707393,71769,0,0,59150982,688489,7595653,8832,287147,1038869,335139,62705,0,824064,110101,2235,64740649,74887,73676,19975301,43543108,6716218,0,2030187,624261,38301179,2478979,316796235,2431740,0,55195,362611,115131401,927287,5669,0,2455974,761014,0,0,95528,6000,0,15559,217240,0,89145,0,47635943,13345,0,714653,139455,0,1732162,15170267,114990,81047,0,0,0,0,1535981,51254,1182358,0,3690,3618437,14314147,6916068,0,0,693810,183450,948392,2292735,2513848,2046375,45662,1171847,7855129,0,4249324,28802625,0,308234,1888658,83032,394257,75115,2737510,0,0,0,0,244215,6157268,0,0,22333602,98112,0,108763,0,52729821,0,97680,361421,1943632,0,6512340,13118489,8915042,0,0,0,0,4595773,9444774,120518,64650258,0,116061,26911499,254825,0,3294540,812397,5118,4221938,0,2000,0,16170,163127,52349662,13414416,207290243,391153498,351510,0,1896354,0,8063795,5331729,0,444995,987258,0,9423
2000-04-30,0,0,2491186,2427098,0,316440,0,74880,1244623,0,0,478274675,574584,0,698251,860806,1436253,1208239,0,36609159,91900,19573,260100,0,11964,0,0,0,7636428,0,132855,71158,0,0,201036,0,58421,30222470,0,43405,0,0,8858171,60654191,316584,0,0,3227793,0,6206,226697,0,847267,11601,0,4227740,0,0,775198,8505,7414748,1327397,0,0,33059,0,113032,0,18703681,1079059,8460424,30478221,0,0,0,59972951,312044,12075828,5591,309518,983619,693416,0,0,228165,0,0,59556971,142710,10286,21708549,40011069,6465547,0,2056170,1418700,33967868,2160091,312091605,2066598,1250,132718,226792,99312238,3795339,0,5330,199429,349848,0,0,0,0,28697,0,265485,0,264985,0,40872063,787420,0,222238,210483,0,1598506,15024415,185720,0,0,443422,0,0,1132494,100464,1005584,0,31978,3053553,12351003,7243508,0,0,0,413694,573283,1417193,1397537,1769060,0,108665,11723732,174410,7327776,25116728,14191,297989,2957371,231814,321512,62257,460511,0,0,0,0,61666,4611151,0,0,19259121,0,0,681291,0,50010258,0,668732,251915,2482449,0,9178171,9909061,6408261,0,0,0,0,5632224,11731914,780788,66313162,0,216720,24673248,0,0,4190146,1023461,3543,4113068,0,0,114237,0,7332,69192925,11802082,135667870,391277433,256854,0,1129568,0,10591164,6632008,0,306921,1084812,0,4016
2000-05-31,0,0,244721,2647176,0,0,0,7077,5331672,0,0,509184305,260241,0,91109,1789059,909399,1529432,0,44176120,0,8643,0,0,15899,0,0,0,7418644,0,248591,0,0,0,30386,68999,0,52567206,0,0,0,0,7877475,70505911,602894,0,0,3070146,82351,106151,423537,0,1280311,231510,0,1900001,88958,0,728427,197304,12163897,4575072,0,0,0,25109,137693,165404,17682774,1069920,11862233,19889937,0,0,0,42147969,13415,9476621,0,226491,676841,313951,0,0,531263,0,50624,67642863,55460,1521,16797638,44392244,9498521,0,2394354,872651,40981242,3642740,351244177,2678257,0,137220,872490,121041264,1321707,0,14294,348236,348298,0,0,26999,0,53580,0,1470,0,1762,0,53259707,2559146,0,1750978,462020,0,1353198,15130978,4663,0,0,345272,0,0,1057265,50018,832444,0,3398,4287051,16130828,7671578,1136,0,100437,318754,619181,879311,900752,4248609,0,55804,9609968,0,7916508,20835548,0,6083309,2829179,0,444518,71579,885962,20367,0,0,0,159772,7536376,0,0,15025909,51240,0,602520,0,47721059,0,3029,44378,1959326,0,7868713,23489610,9223776,0,0,0,0,4331633,9171463,126936,56779035,0,219045,32023045,0,4487,3419767,1174623,458773,1956774,2227104,2511,411325,1101,96920,82875264,7817657,211866560,361728682,324922,0,1177007,0,9457838,6114572,0,617148,1226160,0,15869
2000-06-30,0,0,2761508,4103793,0,268094,0,0,2791667,0,0,513417434,1036869,3000,202786,1175371,456622,1377092,0,34709748,0,0,141172,0,490388,0,0,0,5474193,0,272552,0,0,0,12277,16000,0,28853010,0,0,105697,0,6986725,92333598,904755,0,0,4332461,84814,7151,106944,0,416126,195063,0,4195154,0,0,1393324,23718,8295170,8007350,0,14278,0,1239,0,0,16451075,878276,13215601,17577476,0,0,178944,55996535,2053784,7825684,0,92017,1083340,68481,0,0,441860,0,7000,74359878,53757,68326,18989174,37043540,5629455,0,2042228,1214261,27054291,1964774,318161357,2323743,0,47448,185366,121202492,787544,0,0,3370560,91272,0,0,108334,0,0,220000,1220,0,4684,0,46973506,1337985,5786,1006540,15928,0,1244985,28540884,6638,0,0,0,0,0,1577730,0,762555,0,27339,2650977,16170881,7111053,0,0,0,488361,1061524,1852587,593120,2742131,0,161980,9200493,254756,11189274,30916007,0,4096101,1447772,5080981,538908,173225,3268571,0,0,0,0,148076,6564352,0,0,18086859,0,0,388333,0,50004904,0,3467,134097,277905,0,7014805,20841266,9935603,0,121615,0,0,3243881,9215068,33442,65477123,0,160837,24755191,0,0,4906877,1067405,622648,3260091,4696200,0,0,0,6000,75655036,12797986,116163853,357647276,2044539,0,1868895,0,9571726,6748250,0,344478,450142,6643,17883
2000-07-31,0,0,559322,6780267,0,470624,0,0,2668299,0,0,504625163,1593404,0,404869,1312419,403609,2043054,0,30500828,0,0,556965,0,0,40377,10798,0,5012064,0,172769,152963,0,0,0,298561,11747,29651150,0,0,0,0,5963789,72394497,522782,0,0,3641394,91999,56539,84982,0,1032462,68548,61637,4205790,0,0,2387011,107901,9004104,8255783,0,17585,81861,0,3020,1884,18140729,491061,9589624,26121191,0,0,0,53509744,33763,5530053,0,184638,1327271,202451,4188,0,783932,0,115464,72222909,236242,5530,12501250,27397974,5921076,0,1805497,732849,27698307,1828534,345594656,2118571,0,160438,522929,95693001,1073935,0,14169,697591,400588,0,0,0,0,138700,0,169227,0,0,0,41623702,1184475,0,1022745,51596,0,1882827,24087022,0,0,0,0,0,0,4108521,12938,1002361,2550,0,2435069,15614549,4883814,74284,0,46797,195761,425710,2015236,728866,3221034,0,290452,6623716,128061,9205815,30990000,0,781058,3428509,1152,140475,60753,535632,0,0,0,0,353475,5813944,0,0,19193434,3961,0,264964,0,29950797,0,26432,157345,547607,0,9037518,17270434,14506387,0,138106,0,0,3053222,7463101,0,48557302,0,52121,25326972,758087,0,2952284,1611577,499506,2495977,0,0,5150,0,0,68312575,15106894,101799045,357569174,2145273,0,1115097,0,10202852,8517810,0,430932,784867,0,69423
2000-08-31,0,0,1828197,3158071,0,0,0,0,1543105,0,0,544280735,571853,0,231670,1019439,963656,1421246,0,25708996,90556,0,290500,0,5478,0,0,0,4016232,0,133867,1387,0,0,0,205846,0,30615398,0,81655,0,0,2711171,86068949,133460,0,0,5087033,128869,12027,63064,0,580484,175669,0,9324937,0,1912,727282,191939,6376151,5779074,0,0,5483,0,134530,14083,15931121,313402,9648137,26708764,31702,0,0,45471524,70640,4674939,6255,462685,1013223,268002,0,0,914153,43905,116291,69224731,166967,9801,9789799,18576131,7905428,0,2001754,849484,46674354,2528878,357960547,2312001,0,23250,457473,110339074,1422717,9102,0,5162796,343070,0,0,106873,0,0,232521,22637,0,0,0,58941724,600134,0,1126840,740062,0,2231141,31236388,72081,0,0,1716,0,0,549973,17317,461856,0,13116,4536995,12586683,9220420,0,0,633490,365565,686999,1135880,1111987,2424937,0,932997,10238439,0,3820117,30760434,0,4053421,3040974,0,1170330,263745,1036804,0,0,0,0,74071,6354602,0,0,18196917,0,0,260259,0,40095784,0,0,169685,753198,0,8775679,19869897,11839769,0,21432,607059,0,5416379,5044110,13944,52871976,0,294224,21018313,608038,0,3107425,1474423,506094,4668309,0,0,0,0,0,90817623,8003715,96884313,299153062,860564,0,2049013,0,11094083,4409064,0,849622,74261,4320,286845
2000-09-30,0,0,3915306,2808716,0,251100,0,72272,3397074,0,0,516458744,1392994,0,161527,695938,1424229,2596291,0,33515076,0,0,428083,0,71162,0,18741,0,10719065,7464,634060,241904,0,0,44039,423942,114234,34898860,0,0,0,0,7471217,89296452,345892,0,0,4644069,160077,0,966452,0,697651,83170,0,8988096,0,0,6464609,718380,10510807,7129654,0,0,14984,0,0,6493,18014532,465417,12121205,22809516,0,0,0,57205821,156409,3053903,76606,160884,1114802,91658,0,0,638732,97648,0,68312396,301344,692906,12396993,53013188,14701534,0,1544317,736907,45501100,1666861,335956408,3367163,0,113213,128647,140003741,2308351,0,0,10567980,343396,0,0,0,0,0,0,51192,0,397153,8953,50764752,1782982,0,428639,33346,0,1326054,20712847,140113,0,0,0,0,0,831549,7421,986503,0,24671,5106078,10980646,6227983,0,0,688205,472375,1109199,1442489,624199,1948455,0,395759,5047274,1644,4959391,28462417,0,1004127,2325028,4419,377722,607207,5522979,0,0,0,0,364211,6600075,0,0,12933209,0,0,291754,0,35264207,0,4132,1040,216879,0,7840048,21068198,15470414,102431,246278,0,0,2410481,5969080,77619,61848918,0,20538,33318460,12407,0,4439501,960198,159552,3444866,0,0,15446,0,34170,50141139,20976632,104060922,294124926,4662112,0,1429649,0,19132239,14625603,0,731016,93971,2490,279721
2000-10-31,0,0,12354520,4885700,0,519940,0,0,3422294,0,0,546492903,712931,0,333555,789450,1406227,2382784,0,46716651,92446,0,557510,0,46320,0,1500,0,4178285,0,781016,283847,0,0,0,319168,74500,38807646,0,101770,0,0,4823534,98049069,208024,0,0,4606025,5962,10801,64219,0,463966,123179,0,5825393,0,0,2418238,139616,15177290,8296971,0,0,69806,0,105591,0,17382337,567128,12229815,26843355,101980,0,0,57857415,57269,2653339,16865,551623,1533847,175101,0,0,795088,0,277831,79357238,371156,0,10066914,71021012,18523574,0,1790443,1599214,50464492,3250619,425010312,2496659,0,106346,712758,104649355,4939933,0,6757,22787027,959197,0,0,87829,0,0,12797,85478,0,0,0,53912618,178288,0,530524,119817,0,2359102,27381022,13787,0,0,500000,0,0,4043074,278829,1455071,1980,18398,3211808,8049513,8406837,7115,0,680855,524423,397502,1053124,1174403,1630479,1435,3370653,8576400,0,2435470,66729098,0,3588904,2150372,15382,597392,190500,9617404,0,0,0,0,308669,7626102,0,0,25554053,0,0,363585,0,38260617,0,10146,110482,1012900,0,16618876,7480305,19522564,0,0,0,0,2036795,3552255,147435,71546777,0,73051,29165689,78528,0,4038587,1567645,3463095,3369755,0,2790,6679,0,94370,29995453,16535845,118169746,338632610,1284820,0,1173148,0,1650792,34293951,0,321405,1331714,5317,71400
