"date","Asia","Australia","Europe","Nth America","Other"
2000-01-31,582710919,333357041,300066129,315552892,245232908
2000-02-29,768327101,449294940,358220077,390865207,303721804
2000-03-31,837968005,479464549,484294293,419747268,305580770
2000-04-30,787096217,478847958,363295368,421765594,310447494
2000-05-31,873070495,509803486,440865295,414295888,330998088
2000-06-30,869028173,514478958,332854427,386641458,347539234
2000-07-31,800684794,505050873,306165307,387777289,321441764
2000-08-31,851700687,544967734,317980435,330065215,331304701
2000-09-30,912974646,517567943,342237666,329528475,335321975
2000-10-31,1075221754,546890405,373829791,378014631,343713699
2000-11-30,966586418,570798226,380486133,443888906,433908613
2000-12-31,878155586,518308808,412859614,467044993,377225996
2001-01-31,802441526,393385062,377812033,434427931,328351613
2001-02-28,942852003,488759753,418403732,390412402,346751235
2001-03-31,1006251531,535366614,515032197,470334492,403024395
2001-04-30,982285045,465183670,462898050,472138899,423180871
2001-05-31,1117997509,504509954,465198977,631168627,511564876
2001-06-30,988498606,501532541,416544263,503645907,398228483
2001-07-31,937622906,520618741,422366219,477082980,401634535
2001-08-31,883830438,576231259,374189953,435249242,371647990
2001-09-30,911077581,551163306,341483337,407897990,402827296
2001-10-31,1010981137,534828506,355074579,394083830,431941922
2001-11-30,912280488,584405278,324335001,458093994,390530367
2001-12-31,902608671,534313068,358187255,412572512,352640026
2002-01-31,678618715,452690949,417315549,366657129,346224642
2002-02-28,862840804,516373446,447718149,449775582,346095151
2002-03-31,934203217,579260102,502674655,531984057,445930871
2002-04-30,903030633,451772447,482097313,540985657,394023848
2002-05-31,986229606,541612894,468839622,618500773,478008656
2002-06-30,873163678,492359423,373816679,524474917,352575296
2002-07-31,841143525,528807577,366793514,457869300,354768489
2002-08-31,789518323,559242232,349335536,417610084,272086203
2002-09-30,855659995,528559069,344382837,355090254,344109052
2002-10-31,821447198,545048923,411689967,336028835,355206132
2002-11-30,753188974,551353261,336138725,428190019,382629276
2002-12-31,804358854,483935065,364346863,386562061,348781759
2003-01-31,738563608,382830104,317604897,316680697,283670104
2003-02-28,730646823,470229402,419249124,402539483,287740718
2003-03-31,897802256,529592477,484840990,514478441,339532938
2003-04-30,755853887,481099690,447169621,463694485,346571494
2003-05-31,835668195,504583006,489729672,496972508,417998388
2003-06-30,715469208,493635428,363669977,399544361,289607982
2003-07-31,677361479,600171863,342463086,386209518,295331206
2003-08-31,705968851,548536025,337230427,358477466,351273048
2003-09-30,709019918,538003965,323333040,302868262,327767560
2003-10-31,718160951,543518689,368638210,290070651,370236447
2003-11-30,718692238,546500357,403802364,355011853,367209800
2003-12-31,706528740,487655553,346931923,383373514,369620388
2004-01-31,675580266,385577498,309547765,331819934,330270832
2004-02-29,808544456,499486223,487011889,382057374,327065044
2004-03-31,909336253,586783904,489205813,417233745,379176335
2004-04-30,874509327,539281907,446380134,431049832,400174407
2004-05-31,1071069531,572417040,611406484,612580891,511009867
2004-06-30,878990254,496257399,422228640,527581670,370834151
2004-07-31,833030822,527751778,347979568,403791580,352693583
2004-08-31,747132158,550689842,359123150,380825930,327870675
2004-09-30,727057968,535946183,252539894,317538227,323671930
2004-10-31,812137364,573662363,328898103,331913449,442612832
2004-11-30,825281836,614298620,326317213,406879033,437062802
2004-12-31,768939284,531320477,418023374,417830517,404617088
2005-01-31,713530658,401628951,427130186,351055826,359081044
2005-02-28,798319019,629383860,442237790,420481397,357874548
2005-03-31,840367945,560155322,537365905,503402237,353033491
2005-04-30,871757775,542407540,544641024,447223930,394973839
2005-05-31,983059310,545000093,488819382,439503351,487314484
2005-06-30,816995243,502512272,406636720,405396021,419177680
2005-07-31,762221575,572831931,336912027,397445677,356852224
2005-08-31,730589782,595566534,343081590,324979526,366696684
2005-09-30,702179854,572964914,322907391,356662725,397794106
2005-10-31,778793023,582201809,322641668,345411415,426649082
2005-11-30,749258158,583072641,358397729,425744344,464011305
2005-12-31,827080240,508527671,384505194,483959269,446897260
2006-01-31,720157525,432187755,312499301,322870572,411383413
2006-02-28,881036490,567896176,391038595,347626309,407537567
2006-03-31,941039575,642214272,563471353,502834039,531674490
2006-04-30,950000307,550391167,518063429,465620648,532889717
2006-05-31,1194854358,602137964,767556205,474475575,600296677
2006-06-30,974253930,594703179,453848773,457418537,491649683
2006-07-31,923856388,632884049,456365289,502441815,504808564
2006-08-31,854405242,641709043,428357153,404013720,404351678
2006-09-30,874093037,629174841,404766910,457500929,458526962
2006-10-31,899647694,618526727,397606517,335974861,465309007
2006-11-30,934902084,611439386,364240720,366983336,511251175
2006-12-31,929272292,559259673,490267643,460833702,507154683
2007-01-31,807511079,467304427,386914590,340403677,481731033
2007-02-28,973514610,525212602,483201883,344090949,521286861
2007-03-31,983814295,693297045,543416857,525317191,567904766
2007-04-30,1016381951,554360018,530895155,457762076,609982522
2007-05-31,1131413852,643926666,486492243,466011142,622146796
2007-06-30,910274737,632038847,391988057,383251542,421848710
2007-07-31,822023083,604717302,380142826,406786217,426999355
2007-08-31,808405047,755558303,378387784,347714022,370760758
2007-09-30,963410256,711088697,455328652,292728402,510420612
2007-10-31,1006968086,846955731,456686363,419495742,637814183
2007-11-30,1166556293,793759798,374657849,355966326,677415830
2007-12-31,1140407739,804803035,498128453,413199588,825739614
2008-01-31,995623631,652912392,452065524,317117700,665769271
