"date","NE Asia","Australia","Europe","Nth America","Other","SE Asia","Middle East"
2000-01-31,443381750,333357041,300066129,315552892,165011066,139329169,80221842
2000-02-29,566291407,449294940,358220077,390865207,211874765,202035694,91847039
2000-03-31,631398869,479464549,484294293,419747268,212076104,206569136,93504666
2000-04-30,598637074,478847958,363295368,421765594,220721373,188459143,89726121
2000-05-31,667559992,509803486,440865295,414295888,247684959,205510503,83313129
2000-06-30,671535668,514478958,332854427,386641458,263846478,197492505,83692756
2000-07-31,634631592,505050873,306165307,387777289,236147527,166053202,85294237
2000-08-31,676489630,544967734,317980435,330065215,253477325,175211057,77827376
2000-09-30,695469107,517567943,342237666,329528475,235813666,217505539,99508309
2000-10-31,779198229,546890405,373829791,378014631,229214829,296023525,114498870
2000-11-30,702599336,570798226,380486133,443888906,291056501,263987082,142852112
2000-12-31,625450278,518308808,412859614,467044993,265542632,252705308,111683364
2001-01-31,613529087,393385062,377812033,434427931,251060421,188912439,77291192
2001-02-28,681878881,488759753,418403732,390412402,251031535,260973122,95719700
2001-03-31,747182725,535366614,515032197,470334492,283674126,259068806,119350269
2001-04-30,702063256,465183670,462898050,472138899,312867049,280221789,110313822
2001-05-31,784723681,504509954,465198977,631168627,383800593,333273828,127764283
2001-06-30,768063181,501532541,416544263,503645907,307905794,220435425,90322689
2001-07-31,725403978,520618741,422366219,477082980,303423925,212218928,98210610
2001-08-31,665357271,576231259,374189953,435249242,281718733,218473167,89929257
2001-09-30,681584349,551163306,341483337,407897990,332588135,229493232,70239161
2001-10-31,714044576,534828506,355074579,394083830,327222126,296936561,104719796
2001-11-30,640700990,584405278,324335001,458093994,305750919,271579498,84779448
2001-12-31,652831613,534313068,358187255,412572512,243148759,249777058,109491267
2002-01-31,491001000,452690949,417315549,366657129,241396286,187617715,104828356
2002-02-28,657927228,516373446,447718149,449775582,236826485,204913576,109268666
2002-03-31,709732874,579260102,502674655,531984057,316208600,224470343,129722271
2002-04-30,704045610,451772447,482097313,540985657,282868782,198985023,111155066
2002-05-31,741580456,541612894,468839622,618500773,353839983,244649150,124168673
2002-06-30,663479458,492359423,373816679,524474917,273031331,209684220,79543965
2002-07-31,645752715,528807577,366793514,457869300,258992221,195390810,95776268
2002-08-31,623714657,559242232,349335536,417610084,205564144,165803666,66522059
2002-09-30,652079368,528559069,344382837,355090254,266398375,203580627,77710677
2002-10-31,622490129,545048923,411689967,336028835,250138942,198957069,105067190
2002-11-30,561582236,551353261,336138725,428190019,277446810,191606738,105182466
2002-12-31,622689105,483935065,364346863,386562061,250704825,181669749,98076934
2003-01-31,547883747,382830104,317604897,316680697,182946791,190679861,100723313
2003-02-28,550552583,470229402,419249124,402539483,196910256,180094240,90830462
2003-03-31,692422340,529592477,484840990,514478441,243723230,205379916,95809708
2003-04-30,569543317,481099690,447169621,463694485,253803597,186310570,92767897
2003-05-31,616424717,504583006,489729672,496972508,316747028,219243478,101251360
2003-06-30,542740701,493635428,363669977,399544361,216415097,172728507,73192885
2003-07-31,503342129,600171863,342463086,386209518,230475703,174019350,64855503
2003-08-31,526290128,548536025,337230427,358477466,276253134,179678723,75019914
2003-09-30,556069965,538003965,323333040,302868262,232756291,152949953,95011269
2003-10-31,526023316,543518689,368638210,290070651,260376874,192137635,109859573
2003-11-30,518201396,546500357,403802364,355011853,247465794,200490842,119744006
2003-12-31,534435833,487655553,346931923,383373514,256425481,172092907,113194907
2004-01-31,510269651,385577498,309547765,331819934,220030882,165310615,110239950
2004-02-29,631511131,499486223,487011889,382057374,227277645,177033325,99787399
2004-03-31,703257867,586783904,489205813,417233745,277362014,206078386,101814321
2004-04-30,695919799,539281907,446380134,431049832,298360931,178589528,101813476
2004-05-31,838835357,572417040,611406484,612580891,369847152,232234174,141162715
2004-06-30,688640720,496257399,422228640,527581670,288951549,190349534,81882602
2004-07-31,663915475,527751778,347979568,403791580,222623734,169115347,130069849
2004-08-31,584265540,550689842,359123150,380825930,248116061,162866618,79754614
2004-09-30,554205148,535946183,252539894,317538227,236552761,172852820,87119169
2004-10-31,596616881,573662363,328898103,331913449,300019018,215520483,142593814
2004-11-30,592054742,614298620,326317213,406879033,282146686,233227094,154916116
2004-12-31,562011659,531320477,418023374,417830517,275168335,206927625,129448753
2005-01-31,509515013,401628951,427130186,351055826,232979944,204015645,126101100
2005-02-28,600216537,629383860,442237790,420481397,245832815,198102482,112041733
2005-03-31,623878167,560155322,537365905,503402237,234174231,216489778,118859260
2005-04-30,665688169,542407540,544641024,447223930,278384704,206069606,116589135
2005-05-31,750867493,545000093,488819382,439503351,348369017,232191817,138945467
2005-06-30,632953088,502512272,406636720,405396021,312798067,184042155,106379613
2005-07-31,587705346,572831931,336912027,397445677,256833452,174516229,100018772
2005-08-31,568110420,595566534,343081590,324979526,253234112,162479362,113462572
2005-09-30,539539619,572964914,322907391,356662725,305074180,162640235,92719926
2005-10-31,571762990,582201809,322641668,345411415,267969026,207030033,158680056
2005-11-30,549268025,583072641,358397729,425744344,308138410,199990133,155872895
2005-12-31,610857020,508527671,384505194,483959269,298494855,216223220,148402405
2006-01-31,520706993,432187755,312499301,322870572,287832526,199450532,123550887
2006-02-28,593147847,567896176,391038595,347626309,274807255,287888643,132730312
2006-03-31,717252208,642214272,563471353,502834039,354611790,223787367,177062700
2006-04-30,706308133,550391167,518063429,465620648,353348117,243692174,179541600
2006-05-31,845750160,602137964,767556205,474475575,378002305,349104198,222294372
2006-06-30,742184952,594703179,453848773,457418537,332901224,232068978,158748459
2006-07-31,703150133,632884049,456365289,502441815,381928481,220706255,122880083
2006-08-31,659423255,641709043,428357153,404013720,278216872,194981987,126134806
2006-09-30,660238152,629174841,404766910,457500929,337915135,213854885,120611827
2006-10-31,672153392,618526727,397606517,335974861,311488381,227494302,153820626
2006-11-30,629178315,611439386,364240720,366983336,341270152,305723769,169981023
2006-12-31,674071947,559259673,490267643,460833702,312536534,255200345,194618149
2007-01-31,581532362,467304427,386914590,340403677,312911907,225978717,168819126
2007-02-28,696328319,525212602,483201883,344090949,333717177,277186291,187569684
2007-03-31,692230010,693297045,543416857,525317191,355411589,291584285,212493177
2007-04-30,739378793,554360018,530895155,457762076,429513102,277003158,180469420
2007-05-31,785728585,643926666,486492243,466011142,414232823,345685267,207913973
2007-06-30,663489114,632038847,391988057,383251542,301649690,246785623,120199020
2007-07-31,578310146,604717302,380142826,406786217,299794882,243712937,127204473
2007-08-31,592923355,755558303,378387784,347714022,268750668,215481692,102010090
2007-09-30,643802160,711088697,455328652,292728402,330104765,319608096,180315847
2007-10-31,653207109,846955731,456686363,419495742,426126893,353760977,211687290
2007-11-30,730603351,793759798,374657849,355966326,450271971,435952942,227143859
2007-12-31,651168108,804803035,498128453,413199588,530198522,489239631,295541092
2008-01-31,595363559,652912392,452065524,317117700,442734813,400260072,223034458
2008-02-29,752000459,799954202,573089242,390588590,504122173,406235661,272949216
2008-03-31,650956584,690275926,564447926,403836218,455148457,409463580,257184605
2008-04-30,819824429,866195054,614261769,356036870,503320598,420971535,245545546
2008-05-31,745245885,702204445,559302128,477392968,455718027,548725324,252678821
2008-06-30,763043805,953655849,476505487,395430284,476971664,345900493,182448024
2008-07-31,732946725,872123580,480030503,449335545,394149300,331818959,171510870
2008-08-31,761766518,1055930667,506666738,331263006,381737017,322722635,214676133
2008-09-30,665318818,858472911,389464160,332462791,387055244,289494937,250733361
2008-10-31,831852268,943012009,436682099,371378961,452060032,436716405,354161259
2008-11-30,843207914,821219672,317854939,536629863,458283806,383186433,320214131
2008-12-31,800677708,788155346,516068223,537741755,544897295,381252022,270169594
2009-01-31,753737704,585745138,471978464,476766969,393439630,268256165,222278747
2009-02-28,757862913,702406975,614315603,484801744,378789680,287552521,215825126
2009-03-31,900910671,918653985,624434998,508704502,428416357,382146850,289373372
2009-04-30,886948234,687245605,602868048,430358191,411717155,357633325,264644001
2009-05-31,921177418,782260522,577297709,466726252,488600654,446035180,280380967
2009-06-30,754978165,710940392,418104139,402471766,358825302,332032863,255542637
2009-07-31,780233908,732359157,409813803,334886715,378597410,337095029,199694612
2009-08-31,666930593,759932078,338704271,216098604,353914848,254920732,154377296
2009-09-30,660255970,826331950,329425544,232236429,318825987,274311717,180786981
2009-10-31,675911517,763781129,380324263,289594505,328614250,329402850,187713517
2009-11-30,691628377,884118600,276652698,290459236,357762707,344493102,215870042
2009-12-31,800314613,787038059,391227510,326629876,352898952,514170960,240663194
2010-01-31,827573819,675595632,382442364,256545005,346715602,429888636,235687544
2010-02-28,841708735,747120528,461528144,338874019,346794904,336055100,247905749
2010-03-31,1005074139,959900553,544932055,422589390,408069161,411412574,323640974
2010-04-30,1054846166,736436951,552880342,447469802,417876001,386851070,363964328
2010-05-31,1132733729,919965442,515889876,485315955,495116150,387202346,260799984
2010-06-30,1022783105,867245662,412007802,399980958,464678586,373479271,252887592
2010-07-31,932648344,827150048,457417350,353185014,362172384,390772998,230029669
2010-08-31,775231485,885535817,345003325,300591208,339117150,255040735,229318488
2010-09-30,851951971,841636895,292231798,272480643,442264750,279157202,191941477
2010-10-31,953461216,883187143,367490101,284084963,464114602,349213665,381734725
2010-11-30,888591632,920331059,354817572,333988304,433225876,397991290,333241852
2010-12-31,1057881323,769344992,459422684,366601292,479767449,389893177,305559129
2011-01-31,899031618,691427833,368858352,307638113,387619830,357398792,294401858
2011-02-28,1183430426,846079915,434772766,394067533,404873630,336294294,260549086
2011-03-31,1246010931,985342862,642114550,477959706,452936295,395572599,418744813
2011-04-30,1343935880,851102786,635413259,444820473,654012322,401261745,355165489
2011-05-31,1216608383,963562718,602718224,502714812,608809239,413022284,310738350
2011-06-30,956701503,856896727,435913969,439054185,529479095,418013776,318382465
2011-07-31,947702960,900183916,408012147,374325050,435093378,355543223,286738841
2011-08-31,889823014,998947832,399211040,288146992,336898169,308233380,210147633
2011-09-30,875839867,899957156,386678759,275571273,430370052,329815702,243600011
2011-10-31,1027237406,965426273,393562171,356712179,473669455,355049522,314892558
2011-11-30,980289203,928948467,351640832,338671424,519710751,401713342,387143331
2011-12-31,1158735782,976910621,461712468,400789056,522121003,418874588,343652866
2012-01-31,1110452059,726148441,368595823,362962719,433104509,377260425,348306918
2012-02-29,932894570,797398559,486481084,394540084,403499342,342096462,261058769
2012-03-31,1222405657,818492542,483678938,452118244,496428411,415000025,318673951
2012-04-30,1117566451,737188416,438760802,444800731,456313199,366782538,308286073
2012-05-31,1223796593,896642793,470453484,576264955,512078249,414082811,337217256
2012-06-30,1274412018,830209523,359624703,456998704,510352708,390431968,355897264
2012-07-31,1140457422,883489745,365383482,402239094,567472939,372007014,313019399
2012-08-31,989837520,824653160,328777457,286480385,367745234,309928950,202034064
2012-09-30,933057172,811728754,363150212,307308059,367795060,300659924,203754083
2012-10-31,879813657,912942659,362725793,320352099,369179835,349758872,268957395
2012-11-30,1230386973,828389946,304493528,404818727,416103032,368087236,275311696
2012-12-31,1293453549,848622181,396831568,440852283,449649783,353084574,319503860
2013-01-31,1089392713,636716315,333093388,351358839,415667356,303952533,216856837
2013-02-28,1233817633,727072679,416014094,432592691,448746115,382940141,251868896
2013-03-31,1446821699,814484829,474951049,516524540,487674599,391875386,275482579
2013-04-30,1214115393,728997478,465910654,367396894,460870168,422337723,283361028
2013-05-31,1195919846,749467644,500915671,419437557,540204950,389022498,280319064
2013-06-30,1303697725,779841712,378293888,419934327,449042362,407052165,265948105
2013-07-31,1139166665,740883801,445888981,353640537,448273996,453526643,246519021
2013-08-31,1061178573,701824708,329543448,312584343,376947382,303395053,210990596
2013-09-30,1251192393,845628629,370031016,321226241,394689257,445881944,188459609
2013-10-31,1578873483,791750293,359393194,346118785,443526549,438744225,282631710
2013-11-30,1700638647,845517781,333306849,350134263,471162265,430757597,310758712
2013-12-31,1889004372,777172018,449571305,411770335,499642096,421930964,299800058
2014-01-31,1677307426,561703098,387860193,332469351,376177597,435875423,296809653
2014-02-28,1711444900,719734083,482546865,428977722,389941977,442393845,356410672
2014-03-31,1653005081,780762479,601198505,534178832,537471546,509243987,416680304
2014-04-30,1471135679,765724506,513993668,422446776,495044749,419615826,318527617
2014-05-31,1488548972,667621370,489025952,451819694,562257838,495721936,418826071
2014-06-30,1242503118,739627949,441696875,507706232,486238754,435406693,321774274
2014-07-31,1129143103,685407572,367045474,405290901,470815407,359709890,266907602
2014-08-31,1138966832,740017965,359530003,379980272,374787540,337050978,202975710
2014-09-30,1055534898,802748350,405644492,356997833,359234286,390743440,245220260
2014-10-31,1185144502,819980450,384635514,442081457,473150619,409345886,296612774
2014-11-30,1194338676,760601194,306131378,528744237,539808997,409015040,302003029
2014-12-31,1514089508,739951003,403146717,498813479,464001387,413080420,368754087
2015-01-31,1071550015,526200906,403780071,537929792,443223797,395157528,303007112
2015-02-28,1220291145,657839315,402884197,533579662,377399241,423654138,271400861
2015-03-31,1311366496,752880248,518804742,677559600,602800498,638476963,402909913
2015-04-30,1326451087,642767944,443327476,521640638,513025366,392257557,294607837
2015-05-31,1267879588,666783661,520578425,645702664,552526499,422301625,278373767
2015-06-30,1271152693,730065749,448738316,556872075,554003503,327822076,259405233
2015-07-31,1301936388,699010051,415012381,542835671,540219809,401768097,267827376
2015-08-31,1177957433,707897055,428913852,428378822,388738237,350938488,227487903
2015-09-30,1063189343,731892371,423634191,491024816,384165313,329769056,252980173
2015-10-31,1156654318,753108567,411209835,457790634,417610186,355423717,260113933
2015-11-30,1313036720,725620453,379076376,527817122,453721265,380711883,294431420
2015-12-31,1531344613,752246710,442027071,514503329,471816700,396573785,314155294
