"date","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antigua and Barb.","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herz.","Botswana","Br. Indian Ocean Ter.","Brazil","British Virgin Is.","Brunei","Bulgaria","Burkina Faso","Burundi","C<92><82>te d'Ivoire","Cambodia","Cameroon","Canada","Cape Verde","Cayman Is.","Central African Rep.","Chad","Chile","China","Colombia","Comoros","Congo","Cook Is.","Costa Rica","Croatia","Cuba","Cura<92>_ao","Cyprus","Czech Rep.","Dem. Rep. Congo","Denmark","Djibouti","Dominica","Dominican Rep.","Ecuador","Egypt","El Salvador","Eq. Guinea","Eritrea","Estonia","Ethiopia","Faeroe Is.","Falkland Is.","Fiji","Finland","Fr. Polynesia","France","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea","Kuwait","Kyrgyzstan","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Is.","Mauritania","Mauritius","Mexico","Micronesia","Moldova","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","Nicaragua","Niger","Nigeria","Niue","Norfolk Island","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Pitcairn Is.","Poland","Portugal","Puerto Rico","Qatar","Romania","Russia","Rwanda","S. Geo. and S. Sandw. Is.","S. Sudan","Saint Helena","Saint Lucia","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten","Slovakia","Slovenia","Solomon Is.","Somalia","South Africa","Spain","Sri Lanka","St. Vin. and Gren.","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Is.","U.S. Virgin Is.","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Vatican","Venezuela","Vietnam","W. Sahara","Wallis and Futuna Is.","Yemen","Zambia","Zimbabwe"
2000-01-31,0,49152,4529694,1939828,0,0,0,0,1438399,0,0,332741515,509328,0,150818,1047607,309510,1346651,0,32381974,0,0,209526,0,2005,66164,0,0,3083426,0,121316,182976,0,0,0,41425,0,23202433,0,0,0,0,3729478,43381723,182442,0,0,1709724,60772,5232,3459,0,496239,44701,0,6441812,198873,0,542761,163712,6570053,7579161,0,0,1590,0,90632,0,11585913,1952487,7371929,58551256,0,0,187392,47885805,34244,3124544,0,70194,574898,446167,0,0,265143,0,102275,36042506,419348,16345,12080334,21881002,8114309,0,1668526,278814,27659057,3878850,242207341,3594737,0,20152,304036,81671813,2047557,0,1719744,76862,446590,0,0,0,0,0,739808,125326,0,0,0,32005235,30896,0,795983,197739,0,1769650,9007704,61434,0,0,0,0,0,2203132,52908,812634,0,53660,2078105,8532513,4938934,0,0,281344,275067,615526,507760,1024738,1945202,0,2064256,5597216,29007,7145309,26284150,7821,366687,1596741,0,360311,746340,3236777,0,0,0,0,231870,3746077,0,0,23006910,0,0,541851,0,29326551,0,70985,27519,1200017,0,6010304,5035453,6386403,0,278930,0,0,2882955,2678618,938048,39953041,0,104066,20767036,0,0,1323981,905201,271109,2118927,0,0,0,0,0,11807393,91720199,292140933,254200,4612,1186683,0,13397339,6370076,0,280584,1921820,0,53765
2000-02-29,0,49152,8070510,6367478,0,0,0,0,3836947,0,0,781694274,992729,0,398253,1940825,4146267,3036275,0,71302969,0,0,542524,0,8730,66164,0,0,8366197,0,289796,281878,0,0,0,85378,0,54124391,0,3800,0,0,7880055,123427407,654368,0,12210,4396115,193403,5232,338000,0,1174257,175269,0,16571631,331455,0,2129728,170179,17945128,14429154,0,0,1590,0,201934,167133,30928542,4838025,16777485,112416931,8802,0,187392,113438580,381104,8939828,5120,403547,1500815,788573,0,0,992075,0,255641,87134803,483891,113044,29541777,67295046,14052688,0,3901398,787669,57191994,10022180,520036582,5261457,0,127722,362057,189549274,6955571,0,1720944,2255705,584646,0,0,0,0,0,756484,125326,0,176826,0,83657857,1240662,0,1098930,226972,0,4921997,53744140,64033,0,0,0,0,0,2356091,97998,1539978,4000,59043,5833257,20835189,10185394,0,0,742331,853921,957707,1778543,3830807,3003585,0,2157424,10605172,29007,18267473,59700207,13612,556566,3227667,0,663912,818189,6841481,2474,0,0,0,300122,8672870,0,0,45108636,49056,0,587860,0,57478833,0,70985,180345,1954223,0,13882581,13619041,17304542,0,278930,0,0,7497903,8161878,2517432,89399765,0,106395,43214200,58395,0,4193429,2644573,271109,5281109,0,0,0,0,276551,20106394,199338510,651746064,340007,4612,2438918,0,25993240,26324229,0,678296,2545996,16047,77502
2000-03-31,0,49152,14130352,11343912,0,317520,0,81945,5771389,0,0,1260210431,1889867,0,746023,3121113,5668652,4245043,0,122681269,0,144726,1068387,0,89915,66164,12584,0,15464869,0,401981,394683,0,0,120618,150421,0,82183466,0,3800,0,0,15365185,193290493,768574,0,12210,8024693,216989,17582,965113,0,1961393,246592,0,21203153,331455,0,4546559,210327,30376044,19011761,0,0,1590,0,201934,186030,50094956,6133784,27054536,171124324,80571,0,187392,172589562,1069593,16535481,13952,690694,2539684,1123712,62705,0,1816139,110101,257876,151875452,558778,186720,49517078,110838154,20768906,0,5931585,1411930,95493173,12501159,836832817,7693197,0,182917,724668,304680675,7882858,5669,1720944,4711679,1345660,0,0,95528,6000,0,772043,342566,0,265971,0,131293800,1254007,0,1813583,366427,0,6654159,68914407,179023,81047,0,0,0,0,3892072,149252,2722336,4000,62733,9451694,35149336,17101462,0,0,1436141,1037371,1906099,4071278,6344655,5049960,45662,3329271,18460301,29007,22516797,88502832,13612,864800,5116325,83032,1058169,893304,9578991,2474,0,0,0,544337,14830138,0,0,67442238,147168,0,696623,0,110208654,0,168665,541766,3897855,0,20394921,26737530,26219584,0,278930,0,0,12093676,17606652,2637950,154050023,0,222456,70125699,313220,0,7487969,3456970,276227,9503047,0,2000,0,16170,439678,33520810,406628753,1042899562,691517,4612,4335272,0,34057035,31655958,0,1123291,3533254,16047,86925
2000-04-30,0,49152,16621538,13771010,0,633960,0,156825,7016012,0,0,1738485106,2464451,0,1444274,3981919,7104905,5453282,0,159290428,91900,164299,1328487,0,101879,66164,12584,0,23101297,0,534836,465841,0,0,321654,150421,58421,112405936,0,47205,0,0,24223356,253944684,1085158,0,12210,11252486,216989,23788,1191810,0,2808660,258193,0,25430893,331455,0,5321757,218832,37790792,20339158,0,0,34649,0,314966,186030,68798637,7212843,35514960,201602545,80571,0,187392,232562513,1381637,28611309,19543,1000212,3523303,1817128,62705,0,2044304,110101,257876,211432423,701488,197006,71225627,150849223,27234453,0,7987755,2830630,129461041,14661250,1148924422,9759795,1250,315635,951460,403992913,11678197,5669,1726274,4911108,1695508,0,0,95528,6000,28697,772043,608051,0,530956,0,172165863,2041427,0,2035821,576910,0,8252665,83938822,364743,81047,0,443422,0,0,5024566,249716,3727920,4000,94711,12505247,47500339,24344970,0,0,1436141,1451065,2479382,5488471,7742192,6819020,45662,3437936,30184033,203417,29844573,113619560,27803,1162789,8073696,314846,1379681,955561,10039502,2474,0,0,0,606003,19441289,0,0,86701359,147168,0,1377914,0,160218912,0,837397,793681,6380304,0,29573092,36646591,32627845,0,278930,0,0,17725900,29338566,3418738,220363185,0,439176,94798947,313220,0,11678115,4480431,279770,13616115,0,2000,114237,16170,447010,45322892,542296623,1434176995,948371,4612,5464840,0,44648199,38287966,0,1430212,4618066,16047,90941
2000-05-31,0,49152,16866259,16418186,0,633960,0,163902,12347684,0,0,2247669411,2724692,0,1535383,5770978,8014304,6982714,0,203466548,91900,172942,1328487,0,117778,66164,12584,0,30519941,0,783427,465841,0,0,352040,219420,58421,164973142,0,47205,0,0,32100831,324450595,1688052,0,12210,14322632,299340,129939,1615347,0,4088971,489703,0,27330894,420413,0,6050184,416136,49954689,24914230,0,0,34649,25109,452659,351434,86481411,8282763,47377193,221492482,80571,0,187392,274710482,1395052,38087930,19543,1226703,4200144,2131079,62705,0,2575567,110101,308500,279075286,756948,198527,88023265,195241467,36732974,0,10382109,3703281,170442283,18303990,1500168599,12438052,1250,452855,1823950,525034177,12999904,5669,1740568,5259344,2043806,0,0,122527,6000,82277,772043,609521,0,532718,0,225425570,4600573,0,3786799,1038930,0,9605863,99069800,369406,81047,0,788694,0,0,6081831,299734,4560364,4000,98109,16792298,63631167,32016548,1136,0,1536578,1769819,3098563,6367782,8642944,11067629,45662,3493740,39794001,203417,37761081,134455108,27803,7246098,10902875,314846,1824199,1027140,10925464,22841,0,0,0,765775,26977665,0,0,101727268,198408,0,1980434,0,207939971,0,840426,838059,8339630,0,37441805,60136201,41851621,0,278930,0,0,22057533,38510029,3545674,277142220,0,658221,126821992,313220,4487,15097882,5655054,738543,15572889,2227104,4511,525562,17271,543930,53140549,754163183,1795905677,1273293,4612,6641847,0,54106037,44402538,0,2047360,5844226,16047,106810
2000-06-30,0,49152,19627767,20521979,0,902054,0,163902,15139351,0,0,2761086845,3761561,3000,1738169,6946349,8470926,8359806,0,238176296,91900,172942,1469659,0,608166,66164,12584,0,35994134,0,1055979,465841,0,0,364317,235420,58421,193826152,0,47205,105697,0,39087556,416784193,2592807,0,12210,18655093,384154,137090,1722291,0,4505097,684766,0,31526048,420413,0,7443508,439854,58249859,32921580,0,14278,34649,26348,452659,351434,102932486,9161039,60592794,239069958,80571,0,366336,330707017,3448836,45913614,19543,1318720,5283484,2199560,62705,0,3017427,110101,315500,353435164,810705,266853,107012439,232285007,42362429,0,12424337,4917542,197496574,20268764,1818329956,14761795,1250,500303,2009316,646236669,13787448,5669,1740568,8629904,2135078,0,0,230861,6000,82277,992043,610741,0,537402,0,272399076,5938558,5786,4793339,1054858,0,10850848,127610684,376044,81047,0,788694,0,0,7659561,299734,5322919,4000,125448,19443275,79802048,39127601,1136,0,1536578,2258180,4160087,8220369,9236064,13809760,45662,3655720,48994494,458173,48950355,165371115,27803,11342199,12350647,5395827,2363107,1200365,14194035,22841,0,0,0,913851,33542017,0,0,119814127,198408,0,2368767,0,257944875,0,843893,972156,8617535,0,44456610,80977467,51787224,0,400545,0,0,25301414,47725097,3579116,342619343,0,819058,151577183,313220,4487,20004759,6722459,1361191,18832980,6923304,4511,525562,17271,549930,65938535,870327036,2153552953,3317832,4612,8510742,0,63677763,51150788,0,2391838,6294368,22690,124693
2000-07-31,0,49152,20187089,27302246,0,1372678,0,163902,17807650,0,0,3265712008,5354965,3000,2143038,8258768,8874535,10402860,0,268677124,91900,172942,2026624,0,608166,106541,23382,0,41006198,0,1228748,618804,0,0,364317,533981,70168,223477302,0,47205,105697,0,45051345,489178690,3115589,0,12210,22296487,476153,193629,1807273,0,5537559,753314,61637,35731838,420413,0,9830519,547755,67253963,41177363,0,31863,116510,26348,455679,353318,121073215,9652100,70182418,265191149,80571,0,366336,384216761,3482599,51443667,19543,1503358,6610755,2402011,66893,0,3801359,110101,430964,425658073,1046947,272383,119513689,259682981,48283505,0,14229834,5650391,225194881,22097298,2163924612,16880366,1250,660741,2532245,741929670,14861383,5669,1754737,9327495,2535666,0,0,230861,6000,220977,992043,779968,0,537402,0,314022778,7123033,5786,5816084,1106454,0,12733675,151697706,376044,81047,0,788694,0,0,11768082,312672,6325280,6550,125448,21878344,95416597,44011415,75420,0,1583375,2453941,4585797,10235605,9964930,17030794,45662,3946172,55618210,586234,58156170,196361115,27803,12123257,15779156,5396979,2503582,1261118,14729667,22841,0,0,0,1267326,39355961,0,0,139007561,202369,0,2633731,0,287895672,0,870325,1129501,9165142,0,53494128,98247901,66293611,0,538651,0,0,28354636,55188198,3579116,391176645,0,871179,176904155,1071307,4487,22957043,8334036,1860697,21328957,6923304,4511,530712,17271,549930,81045429,972126081,2511122127,5463105,4612,9625839,0,73880615,59668598,0,2822770,7079235,22690,194116
2000-08-31,0,49152,22015286,30460317,0,1372678,0,163902,19350755,0,0,3809992743,5926818,3000,2374708,9278207,9838191,11824106,0,294386120,182456,172942,2317124,0,613644,106541,23382,0,45022430,0,1362615,620191,0,0,364317,739827,70168,254092700,0,128860,105697,0,47762516,575247639,3249049,0,12210,27383520,605022,205656,1870337,0,6118043,928983,61637,45056775,420413,1912,10557801,739694,73630114,46956437,0,31863,121993,26348,590209,367401,137004336,9965502,79830555,291899913,112273,0,366336,429688285,3553239,56118606,25798,1966043,7623978,2670013,66893,0,4715512,154006,547255,494882804,1213914,282184,129303488,278259112,56188933,0,16231588,6499875,271869235,24626176,2521885159,19192367,1250,683991,2989718,852268744,16284100,14771,1754737,14490291,2878736,0,0,337734,6000,220977,1224564,802605,0,537402,0,372964502,7723167,5786,6942924,1846516,0,14964816,182934094,448125,81047,0,790410,0,0,12318055,329989,6787136,6550,138564,26415339,108003280,53231835,75420,0,2216865,2819506,5272796,11371485,11076917,19455731,45662,4879169,65856649,586234,61976287,227121549,27803,16176678,18820130,5396979,3673912,1524863,15766471,22841,0,0,0,1341397,45710563,0,0,157204478,202369,0,2893990,0,327991456,0,870325,1299186,9918340,0,62269807,118117798,78133380,0,560083,607059,0,33771015,60232308,3593060,444048621,0,1165403,197922468,1679345,4487,26064468,9808459,2366791,25997266,6923304,4511,530712,17271,549930,89049144,1069010394,2810275189,6323669,4612,11674852,0,84974698,64077662,0,3672392,7153496,27010,480961
2000-09-30,0,49152,25930592,33269033,0,1623778,0,236174,22747829,0,0,4326451487,7319812,3000,2536235,9974145,11262420,14420397,0,327901196,182456,172942,2745207,0,684806,106541,42123,0,55741495,7464,1996675,862095,0,0,408356,1163769,184402,288991560,0,128860,105697,0,55233733,664544091,3594941,0,12210,32027589,765099,205656,2836789,0,6815694,1012153,61637,54044871,420413,1912,17022410,1458074,84140921,54086091,0,31863,136977,26348,590209,373894,155018868,10430919,91951760,314709429,112273,0,366336,486894106,3709648,59172509,102404,2126927,8738780,2761671,66893,0,5354244,251654,547255,563195200,1515258,975090,141700481,331272300,70890467,0,17775905,7236782,317370335,26293037,2857841567,22559530,1250,797204,3118365,992272485,18592451,14771,1754737,25058271,3222132,0,0,337734,6000,220977,1224564,853797,0,934555,8953,423729254,9506149,5786,7371563,1879862,0,16290870,203646941,588238,81047,0,790410,0,0,13149604,337410,7773639,6550,163235,31521417,118983926,59459818,75420,0,2905070,3291881,6381995,12813974,11701116,21404186,45662,5274928,70903923,587878,66935678,255583966,27803,17180805,21145158,5401398,4051634,2132070,21289450,22841,0,0,0,1705608,52310638,0,0,170137687,202369,0,3185744,0,363255663,0,874457,1300226,10135219,0,70109855,139185996,93603794,102431,806361,607059,0,36181496,66201388,3670679,505897539,0,1185941,231240928,1691752,4487,30503969,10768657,2526343,29442132,6923304,4511,546158,17271,584100,110025776,1173071316,3104400115,10985781,4612,13104501,0,104106937,78703265,0,4403408,7247467,29500,760682
2000-10-31,0,49152,38285112,38154733,0,2143718,0,236174,26170123,0,0,4872944390,8032743,3000,2869790,10763595,12668647,16803181,0,374617847,274902,172942,3302717,0,731126,106541,43623,0,59919780,7464,2777691,1145942,0,0,408356,1482937,258902,327799206,0,230630,105697,0,60057267,762593160,3802965,0,12210,36633614,771061,216457,2901008,0,7279660,1135332,61637,59870264,420413,1912,19440648,1597690,99318211,62383062,0,31863,206783,26348,695800,373894,172401205,10998047,104181575,341552784,214253,0,366336,544751521,3766917,61825848,119269,2678550,10272627,2936772,66893,0,6149332,251654,825086,642552438,1886414,975090,151767395,402293312,89414041,0,19566348,8835996,367834827,29543656,3282851879,25056189,1250,903550,3831123,1096921840,23532384,14771,1761494,47845298,4181329,0,0,425563,6000,220977,1237361,939275,0,934555,8953,477641872,9684437,5786,7902087,1999679,0,18649972,231027963,602025,81047,0,1290410,0,0,17192678,616239,9228710,8530,181633,34733225,127033439,67866655,82535,0,3585925,3816304,6779497,13867098,12875519,23034665,47097,8645581,79480323,587878,69371148,322313064,27803,20769709,23295530,5416780,4649026,2322570,30906854,22841,0,0,0,2014277,59936740,0,0,195691740,202369,0,3549329,0,401516280,0,884603,1410708,11148119,0,86728731,146666301,113126358,102431,806361,607059,0,38218291,69753643,3818114,577444316,0,1258992,260406617,1770280,4487,34542556,12336302,5989438,32811887,6923304,7301,552837,17271,678470,126561621,1291241062,3443032725,12270601,4612,14277649,0,105757729,112997216,0,4724813,8579181,34817,832082
