"date","key","value"
2000-01-31,"Asia",582710919
2000-01-31,"Australia",333357041
2000-01-31,"Europe",300066129
2000-01-31,"Nth America",315552892
2000-01-31,"Other",245232908
2000-02-29,"Asia",768327101
2000-02-29,"Australia",449294940
2000-02-29,"Europe",358220077
2000-02-29,"Nth America",390865207
2000-02-29,"Other",303721804
2000-03-31,"Asia",837968005
2000-03-31,"Australia",479464549
2000-03-31,"Europe",484294293
2000-03-31,"Nth America",419747268
2000-03-31,"Other",305580770
2000-04-30,"Asia",787096217
2000-04-30,"Australia",478847958
2000-04-30,"Europe",363295368
2000-04-30,"Nth America",421765594
2000-04-30,"Other",310447494
2000-05-31,"Asia",873070495
2000-05-31,"Australia",509803486
2000-05-31,"Europe",440865295
2000-05-31,"Nth America",414295888
2000-05-31,"Other",330998088
2000-06-30,"Asia",869028173
2000-06-30,"Australia",514478958
2000-06-30,"Europe",332854427
2000-06-30,"Nth America",386641458
2000-06-30,"Other",347539234
2000-07-31,"Asia",800684794
2000-07-31,"Australia",505050873
2000-07-31,"Europe",306165307
2000-07-31,"Nth America",387777289
2000-07-31,"Other",321441764
2000-08-31,"Asia",851700687
2000-08-31,"Australia",544967734
2000-08-31,"Europe",317980435
2000-08-31,"Nth America",330065215
2000-08-31,"Other",331304701
2000-09-30,"Asia",912974646
2000-09-30,"Australia",517567943
2000-09-30,"Europe",342237666
2000-09-30,"Nth America",329528475
2000-09-30,"Other",335321975
2000-10-31,"Asia",1075221754
2000-10-31,"Australia",546890405
2000-10-31,"Europe",373829791
2000-10-31,"Nth America",378014631
2000-10-31,"Other",343713699
2000-11-30,"Asia",966586418
2000-11-30,"Australia",570798226
2000-11-30,"Europe",380486133
2000-11-30,"Nth America",443888906
2000-11-30,"Other",433908613
2000-12-31,"Asia",878155586
2000-12-31,"Australia",518308808
2000-12-31,"Europe",412859614
2000-12-31,"Nth America",467044993
2000-12-31,"Other",377225996
2001-01-31,"Asia",802441526
2001-01-31,"Australia",393385062
